No.,Stasiun,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),11:56:00,12:00:00,
2,Purwosari (PWS),Ls,12:04:00,
3,Gawok (GW),Ls,12:08:30,
4,Delanggu (DL),Ls,12:13:00,
5,Ceper (CE),Ls,12:18:00,
6,Klaten (KT),12:26:00,12:37:00,= KA 5 (KA 5 //)
7,Srowot (SWT),Ls,12:43:00,
8,Brambanan (BBN),Ls,12:47:00,
9,Maguwo (MGW),Ls,12:53:00,
10,Lempuyangan (LPN),Ls,12:58:00,
11,Yogyakarta (YK),13:01:00,13:05:00,
12,Patukan (PTN),Ls,13:10:00,
13,Rewulu (RWL),Ls,13:13:00,
14,Sentolo (STL),Ls,13:20:00,
15,Wates (WT),13:29:00,13:31:00,
16,Kedundang (KDG),Ls,13:37:00,
17,Wojo (WJ),Ls,13:42:00,
18,Jenar (JN),Ls,13:48:00,
19,Kutoarjo (KTA),13:59:00,14:02:00,
20,Butuh (BTH),Ls,14:07:00,
21,Prembun (PRB),Ls,14:12:00,
22,Kutowinangun (KWN),Ls,14:17:00,
23,Wonosari (WNS),Ls,14:20:00,
24,Kebumen (KM),14:24:00,14:26:00,
25,Sruweng (SRW),Ls,14:33:00,
26,Karanganyar (KA),Ls,14:36:00,
27,Gombong (GB),14:43:00,14:45:00,
28,Ijo (IJ),Ls,14:51:00,
29,Tambak (TBK),Ls,14:54:00,
30,Sumpiuh (SPH),Ls,14:58:00,
31,Kemranjen (KJ),Ls,15:02:00,
32,Kroya (KYA),15:08:00,15:10:00,// KA 2615 (KA 2615 =)
33,Sikampuh (SKP),Ls,15:16:00,X KA 2722 (KA 2722 X)
34,Maos (MA),15:22:00,15:24:00,
35,Kasugihan (KH),Ls,15:27:00,
36,Karangkandri (KKD),15:34:00,15:40:00,X KA 158 (KA 158 X)
37,Gumilir (GM),15:46:00,15:48:00,
38,Cilacap (CP),15:58:00,,
