No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabayagubeng (SGU),12:03:00,12:48:00,
2,Ngagel (NGA),Ls,-,
3,Wonokromo (WO),12:54:00,12:57:00,
4,Sepanjang (SPJ),Ls,13:03:00,(KA 478 X)
5,Boharan (BH),Ls,-,
6,Krian (KRN),Ls,13:12:00,// KA 2607 (KA 2607 =)
7,Kedinding (KDN),Ls,-,
8,Tarik (TRK),Ls,13:18:00,
9,Mojokerto (MR),13:26:00,13:29:00,
10,Curahmalang (CRM),Ls,-,
11,Sumobito (SBO),Ls,13:38:00,
12,Peterongan (PTR),Ls,-,
13,Jombang (JG),13:46:00,13:49:00,
14,Sembung (SMB),Ls,13:56:00,// KA 405 (KA 405 =)
15,Kertosono (KTS),14:02:00,14:06:00,
16,Baron (BRN),Ls,14:12:00,
17,Sukomoro (SKM),Ls,14:18:00,
18,Nganjuk (NJ),14:23:00,14:26:00,
19,Bagor (BGR),Ls,14:33:00,
20,Saradan (SRD),Ls,14:44:00,
21,Caruban (CRB),14:51:00,14:53:00,
22,Babadan (BBD),Ls,15:00:00,
23,Madiun (MN),15:07:00,15:13:00,
24,Magetan (MAG),Ls,15:22:00,// KA 579 (KA 579 =)
25,Geneng (GG),Ls,15:27:00,
26,Ngawi (NGW),15:33:00,15:36:00,
27,Kedunggalar (KG),Ls,15:43:00,
28,Walikukun (WK),Ls,15:49:00,
29,Kedungbanteng (KDB),Ls,15:58:00,
30,Kebonromo (KRO),Ls,16:02:00,
31,Sragen (SR),16:07:00,16:09:00,
32,Masaran (MSR),Ls,16:17:00,
33,Kemiri (KMR),Ls,16:23:00,
34,Palur (PL),Ls,16:26:00,
35,Solojebres (SK),Ls,16:29:00,
36,Solobalapan (SLO),Ls,16:33:00,
37,Purwosari (PWS),16:37:00,16:42:00,
38,Gawok (GW),Ls,16:48:00,
39,Delanggu (DL),Ls,16:51:00,
40,Ceper (CE),Ls,16:55:00,
41,Klaten (KT),17:02:00,17:04:00,
42,Srowot (SWT),Ls,17:09:00,
43,Brambanan (BBN),Ls,17:14:00,
44,Maguwo (MGW),Ls,17:20:00,
45,Lempuyangan (LPN),17:27:00,17:34:00,
46,Yogyakarta (YK),Ls,17:39:00,
47,Patukan (PTN),Ls,17:44:00,
48,Rewulu (RWL),Ls,17:48:00,
49,Sentolo (STL),Ls,17:56:00,
50,Wates (WT),18:05:00,18:07:00,
51,Kedundang (KDG),Ls,18:13:00,
52,Wojo (WJ),Ls,18:17:00,
53,Jenar (JN),Ls,18:23:00,
54,Kutoarjo (KTA),18:34:00,18:39:00,
55,Butuh (BTH),Ls,18:44:00,
56,Prembun (PRB),Ls,18:48:00,
57,Kutowinangun (KWN),18:54:00,18:56:00,
58,Wonosari (WNS),Ls,19:00:00,
59,Kebumen (KM),19:04:00,19:06:00,
60,Sruweng (SRW),Ls,19:13:00,
61,Karanganyar (KA),19:17:00,19:19:00,
62,Gombong (GB),19:27:00,19:29:00,
63,Ijo (IJ),Ls,19:35:00,
64,Tambak (TBK),Ls,19:38:00,
65,Sumpiuh (SPH),19:42:00,19:44:00,
66,Kemranjen (KJ),Ls,19:48:00,
67,Kroya (KYA),19:54:00,19:57:00,// KA 285 (KA 285 =)
68,Randegan (RDN),Ls,20:04:00,
69,Kebasen (KBS),Ls,20:07:00,
70,Notog (NTG),Ls,20:12:00,
71,Purwokerto (PWT),20:20:00,,
