No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),,07:00:00,
2,Tandes (TES),Ls,07:06:00,
3,Kandangan (KDA),Ls,07:08:00,
4,Benowo (BNW),Ls,07:12:00,
5,Cerme (CME),Ls,07:16:00,
6,Duduk (DD),Ls,07:23:00,
7,Lamongan (LMG),07:33:00,07:36:00,
8,Surabayan (SBN),Ls,07:43:00,
9,Pucuk (PC),Ls,07:50:00,
10,Gembong (GEB),Ls,07:54:00,
11,Babat (BBT),08:00:00,08:03:00,
12,Bowerno (BWO),Ls,08:11:00,
13,Sumberrejo (SRJ),Ls,08:20:00,
14,Kapas (KPS),Ls,08:26:00,
15,Bojonegoro (BJ),08:33:00,08:36:00,
16,Kalitidu (KIT),Ls,08:48:00,
17,Tobo (TBO),Ls,08:58:00,
18,Cepu (CU),09:05:00,09:08:00,
19,Kapuan (KPA),Ls,09:13:00,
20,Wadu (WDU),Ls,09:17:00,
21,Randublatung (RBG),09:28:00,09:30:00,// KA 2523 (KA 2523 =)
22,Doplang (DPL),Ls,09:43:00,
23,Sulur (SL),Ls,09:48:00,
24,Kradenan (KNN),09:56:00,10:15:00,= KA 39 (KA 39 //)
25,Panunggalan (PNL),Ls,10:24:00,
26,Jambon (JBN),Ls,10:28:00,
27,Gambringan (GBN),10:41:00,10:46:00,"PERJALANANNYA DITERUSKAN OLEH 
KA 234F"
