No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,13:40:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,13:49:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),13:54:00,13:56:00,
7,Bekasi (BKS),14:08:00,14:10:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,14:16:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,14:23:00,
13,Lemahabang (LMB),Ls,14:26:00,// KA 2524 (KA 2524 =)
14,Kedunggedeh (KDH),Ls,14:32:00,
15,Karawang (KW),Ls,14:36:00,
16,Klari (KLI),Ls,14:40:00,
17,Kosambi (KOS),Ls,14:42:00,
18,Dawuan (DWN),Ls,14:46:00,
19,Cikampek (CKP),Ls,14:50:00,
20,Cibungur (CBR),Ls,14:58:00,
21,Sadang (SAD),Ls,-,
22,Purwakarta (PWK),15:09:00,15:14:00,
23,Ciganea (CA),Ls,15:23:00,
24,Sukatani (SUT),Ls,15:32:00,
25,Plered (PLD),Ls,15:37:00,
26,Cisomang (CG),Ls,-,
27,Cikadongdong (CD),Ls,15:52:00,
28,Rendeh (RH),Ls,15:56:00,
29,Maswati (MSI),Ls,16:01:00,
30,Sasaksaat (SKT),Ls,16:07:00,X KA 349 (KA 349 X)
31,Cilame (CLE),Ls,16:15:00,
32,Padalarang (PDL),Ls,16:24:00,
33,Gadobangkong (GK),Ls,-,
34,Cimahi (CMI),16:30:00,16:32:00,// KA 376 (KA 376 =)
35,Cimindi (CMD),Ls,16:35:00,
36,Andir (AND),Ls,16:37:00,
37,Bandung (BD),16:42:00,,
