No.,Stasiun,Datang,Berangkat,Keterangan
1,Semarang Tawang (SMT),,23:40:00,
2,Semarang Poncol (SMC),23:45:00,23:50:00,
3,Jerakah (JRK),Ls,23:56:00,
4,Mangkang (MKG),Ls,00:00:00,
5,Kaliwungu (KLN),Ls,00:04:00,
6,Kalibodri (KBD),Ls,00:11:00,
7,Weleri (WLR),00:18:00,00:20:00,
8,Krengseng (KNS),Ls,00:24:00,
9,Plabuan (PLB),Ls,00:30:00,
10,Kuripan (KRP),Ls,00:35:00,
11,Ujungnegoro (UJN),Ls,00:43:00,
12,Batang (BTG),Ls,00:46:00,
13,Pekalongan (PK),00:54:00,00:56:00,
14,Sragi (SRI),Ls,01:05:00,
15,Comal (CO),Ls,01:08:00,
16,Petarukan (PTA),Ls,01:14:00,
17,Pemalang (PML),01:21:00,01:38:00,= KA 3 (KA 3 //)
18,Surodadi (SD),Ls,01:47:00,
19,Larangan (LR),Ls,01:53:00,
20,Tegal (TG),01:57:00,02:00:00,
21,Brebes (BB),02:09:00,02:11:00,
22,Tanjung (TGN),Ls,02:24:00,
23,Losari (LOS),Ls,02:29:00,
24,Babakan (BBK),Ls,02:34:00,
25,Waruduwur (WDW),Ls,02:41:00,
26,Cirebon Prujakan (CNP),02:49:00,02:54:00,
27,Cirebon (CN),Ls,02:58:00,
28,Cangkring (CNK),Ls,03:03:00,
29,Bangoduwa (BDW),Ls,03:06:00,
30,Arjawinangun (AWN),Ls,03:09:00,
31,Kertasemaya (KTM),Ls,03:18:00,
32,Jatibarang (JTB),03:24:00,03:26:00,
33,Telagasari (TLS),Ls,03:33:00,
34,Terisi (TIS),Ls,03:38:00,
35,Kadokangabus (KAB),Ls,03:42:00,
36,Cilegeh (CLH),Ls,03:47:00,
37,Haurgeulis (HGL),Ls,03:53:00,
38,Cipunegara (CRA),Ls,03:57:00,
39,Pegadenbaru (PGB),Ls,04:02:00,
40,Cikaum (CKM),Ls,04:08:00,
41,Pasirbungur (PAS),Ls,04:12:00,
42,Pringkasap (PRI),Ls,04:16:00,
43,Pabuaran (PAB),Ls,04:20:00,
44,Tanjungrasa (TJS),Ls,04:23:00,
45,Cikampek (CKP),Ls,04:30:00,
46,Dawuan (DWN),Ls,04:33:00,
47,Kosambi (KOS),Ls,04:38:00,
48,Klari (KLI),Ls,04:40:00,
49,Karawang (KW),Ls,04:45:00,
50,Kedunggedeh (KDH),Ls,04:50:00,
51,Lemahabang (LMB),Ls,04:56:00,
52,Cikarang (CKR),05:00:00,05:08:00,= KA 7 (KA 7 //)
53,Telaga Murni (TLM),Ls,-,
54,Cibitung (CIT),Ls,-,
55,Tambun (TB),Ls,05:16:00,
56,Bekasitimur (BKST),Ls,-,
57,Bekasi (BKS),05:22:00,05:24:00,
58,Jatinegara (JNG),05:36:00,05:38:00,
59,Pondokjati (POK),Ls,-,
60,Kramat (KMT),Ls,-,
61,Gangsentiong (GST),Ls,-,
62,Pasarsenen (PSE),05:48:00,,
