No.,Stasiun,Datang,Berangkat,Keterangan
1,Kroya (KYA),07:40:00,08:00:00,
2,Randegan (RDN),Ls,08:07:00,
3,Kebasen (KBS),Ls,08:10:00,
4,Notog (NTG),Ls,08:15:00,
5,Purwokerto (PWT),08:23:00,08:29:00,
6,Karanggandul (KGD),Ls,08:37:00,
7,Karangsari (KRR),Ls,08:46:00,
8,Patuguran (PAT),Ls,08:57:00,
9,Kretek (KRT),Ls,09:03:00,
10,Bumiayu (BMA),09:11:00,09:13:00,
11,Linggapura (LG),Ls,09:22:00,
12,Prupuk (PPK),Ls,09:32:00,
13,Songgom (SGG),Ls,09:39:00,
14,Larangan (LRA),Ls,09:42:00,
15,Ketanggungan (KGG),Ls,09:47:00,
16,Ciledug (CLD),Ls,09:56:00,
17,Sindanglaut (SDU),Ls,10:05:00,
18,Luwung (LWG),Ls,10:09:00,
19,Cirebon Prujakan (CNP),Ls,10:14:00,
20,Cirebon (CN),10:18:00,10:23:00,
21,Cangkring (CNK),Ls,10:30:00,
22,Bangoduwa (BDW),Ls,10:33:00,
23,Arjawinangun (AWN),Ls,10:36:00,// KA 2501 (KA 2501 =)
24,Kertasemaya (KTM),Ls,10:45:00,
25,Jatibarang (JTB),Ls,10:50:00,
26,Telagasari (TLS),Ls,10:56:00,
27,Terisi (TIS),Ls,11:01:00,
28,Kadokangabus (KAB),Ls,11:05:00,
29,Cilegeh (CLH),Ls,11:10:00,
30,Haurgeulis (HGL),Ls,11:16:00,
31,Cipunegara (CRA),Ls,11:20:00,
32,Pegadenbaru (PGB),Ls,11:25:00,
33,Cikaum (CKM),Ls,11:30:00,
34,Pasirbungur (PAS),Ls,11:33:00,
35,Pringkasap (PRI),Ls,11:37:00,
36,Pabuaran (PAB),Ls,11:40:00,
37,Tanjungrasa (TJS),Ls,11:43:00,
38,Cikampek (CKP),Ls,11:50:00,
39,Dawuan (DWN),Ls,11:53:00,
40,Kosambi (KOS),Ls,11:57:00,
41,Klari (KLI),Ls,11:59:00,
42,Karawang (KW),Ls,12:03:00,
43,Kedunggedeh (KDH),Ls,12:07:00,
44,Lemahabang (LMB),Ls,12:13:00,
45,Cikarang (CKR),Ls,12:16:00,
46,Telaga Murni (TLM),Ls,-,
47,Cibitung (CIT),Ls,-,
48,Tambun (TB),Ls,12:22:00,
49,Bekasitimur (BKST),Ls,-,
50,Bekasi (BKS),12:28:00,12:30:00,
51,Jatinegara (JNG),Ls,12:40:00,
52,Matraman (MTR),Ls,-,
53,Manggarai (MRI),Ls,12:45:00,
54,Cikini (CKI),Ls,-,
55,Gondangdia (GDD),Ls,-,
56,Gambir (GMR),12:55:00,,
