No.,Stasiun,Datang,Berangkat,Keterangan
1,Lempuyangan (LPN),,07:00:00,
2,Maguwo (MGW),Ls,07:07:00,
3,Brambanan (BBN),Ls,07:13:00,
4,Srowot (SWT),Ls,07:18:00,
5,Klaten (KT),07:24:00,07:26:00,
6,Ceper (CE),Ls,07:33:00,
7,Delanggu (DL),Ls,07:37:00,
8,Gawok (GW),Ls,07:41:00,
9,Purwosari (PWS),07:47:00,07:54:00,
10,Solobalapan (SLO),Ls,07:58:00,
11,Solojebres (SK),Ls,08:02:00,
12,Palur (PL),Ls,08:05:00,
13,Kemiri (KMR),Ls,08:08:00,
14,Masaran (MSR),Ls,08:14:00,
15,Sragen (SR),08:22:00,08:24:00,
16,Kebonromo (KRO),Ls,08:30:00,
17,Kedungbanteng (KDB),Ls,08:35:00,
18,Walikukun (WK),08:46:00,08:48:00,
19,Kedunggalar (KG),Ls,08:56:00,
20,Ngawi (NGW),09:04:00,09:06:00,
21,Geneng (GG),Ls,09:13:00,
22,Magetan (MAG),09:21:00,09:23:00,
23,Madiun (MN),09:33:00,09:39:00,
24,Babadan (BBD),Ls,09:47:00,
25,Caruban (CRB),09:55:00,09:57:00,
26,Saradan (SRD),Ls,10:05:00,
27,Bagor (BGR),Ls,10:17:00,
28,Nganjuk (NJ),10:24:00,10:26:00,
29,Sukomoro (SKM),Ls,10:31:00,
30,Baron (BRN),Ls,10:38:00,
31,Kertosono (KTS),10:45:00,10:48:00,
32,Sembung (SMB),Ls,10:55:00,
33,Jombang (JG),11:03:00,11:06:00,
34,Peterongan (PTR),Ls,-,
35,Sumobito (SBO),Ls,11:16:00,
36,Curahmalang (CRM),Ls,-,
37,Mojokerto (MR),11:27:00,11:30:00,
38,Tarik (TRK),Ls,11:39:00,
39,Kedinding (KDN),Ls,-,
40,Krian (KRN),Ls,11:48:00,
41,Boharan (BH),Ls,-,
42,Sepanjang (SPJ),Ls,11:58:00,
43,Wonokromo (WO),12:05:00,12:07:00,
44,Ngagel (NGA),Ls,-,
45,Surabayagubeng (SGU),12:15:00,12:20:00,
46,Surabayakota (SB),12:29:00,13:20:00,
