No.,Stasiun,Datang,Berangkat,Keterangan
1,Yogyakarta (YK),,22:25:00,
2,Lempuyangan (LPN),Ls,22:28:00,
3,Maguwo (MGW),Ls,22:32:00,
4,Brambanan (BBN),Ls,22:37:00,
5,Srowot (SWT),Ls,22:41:00,
6,Klaten (KT),22:46:00,22:48:00,
7,Ceper (CE),Ls,22:55:00,
8,Delanggu (DL),Ls,22:59:00,
9,Gawok (GW),Ls,23:02:00,
10,Purwosari (PWS),Ls,23:06:00,
11,Solobalapan (SLO),23:10:00,23:13:00,// KA 2604 (KA 2604 =)
12,Solojebres (SK),Ls,23:17:00,
13,Palur (PL),Ls,23:20:00,
14,Kemiri (KMR),Ls,23:23:00,
15,Masaran (MSR),Ls,23:28:00,
16,Sragen (SR),Ls,23:33:00,
17,Kebonromo (KRO),Ls,23:36:00,
18,Kedungbanteng (KDB),Ls,23:40:00,
19,Walikukun (WK),Ls,23:48:00,
20,Kedunggalar (KG),Ls,23:53:00,
21,Ngawi (NGW),Ls,23:58:00,// KA 152 (KA 152 =)
22,Geneng (GG),Ls,00:03:00,
23,Magetan (MAG),Ls,00:08:00,
24,Madiun (MN),00:16:00,00:22:00,
25,Babadan (BBD),Ls,00:29:00,
26,Caruban (CRB),Ls,00:34:00,
27,Saradan (SRD),Ls,00:39:00,
28,Bagor (BGR),Ls,00:49:00,
29,Nganjuk (NJ),00:55:00,00:57:00,
30,Sukomoro (SKM),Ls,01:02:00,
31,Baron (BRN),Ls,01:08:00,
32,Kertosono (KTS),Ls,01:13:00,
33,Sembung (SMB),Ls,01:18:00,
34,Jombang (JG),01:25:00,01:28:00,
35,Peterongan (PTR),Ls,-,
36,Sumobito (SBO),Ls,01:37:00,
37,Curahmalang (CRM),Ls,-,
38,Mojokerto (MR),01:46:00,01:48:00,
39,Tarik (TRK),Ls,01:56:00,
40,Kedinding (KDN),Ls,-,
41,Krian (KRN),Ls,02:03:00,
42,Boharan (BH),Ls,-,
43,Sepanjang (SPJ),Ls,02:13:00,
44,Wonokromo (WO),Ls,02:19:00,
