No.,Stasiun,Datang,Berangkat,Keterangan
1,Cilacap (CP),,17:10:00,
2,Gumilir (GM),17:19:00,17:21:00,
3,Karangkandri (KKD),Ls,17:26:00,
4,Kasugihan (KH),17:33:00,17:35:00,X KA 2719 (KA 2719 X)
5,Maos (MA),17:39:00,17:47:00,X KA 287 (KA 287 X)
6,Sikampuh (SKP),Ls,17:53:00,
7,Kroya (KYA),17:59:00,18:22:00,= KA 112 (KA 112 //)
8,Kemranjen (KJ),Ls,18:28:00,
9,Sumpiuh (SPH),Ls,18:32:00,
10,Tambak (TBK),Ls,18:36:00,
11,Ijo (IJ),Ls,18:39:00,
12,Gombong (GB),18:45:00,18:59:00,= KA 44 (KA 44 //)
13,Karanganyar (KA),Ls,19:06:00,
14,Sruweng (SRW),Ls,19:08:30,
15,Kebumen (KM),19:15:00,19:17:00,
16,Wonosari (WNS),Ls,19:21:00,
17,Kutowinangun (KWN),Ls,19:24:00,
18,Prembun (PRB),Ls,19:29:00,
19,Butuh (BTH),Ls,19:34:00,
20,Kutoarjo (KTA),19:39:00,19:44:00,
21,Jenar (JN),Ls,19:55:00,
22,Wojo (WJ),Ls,20:01:00,
23,Kedundang (KDG),Ls,20:06:00,
24,Wates (WT),20:12:00,20:14:00,
25,Sentolo (STL),Ls,20:23:00,
26,Rewulu (RWL),Ls,20:30:00,
27,Patukan (PTN),Ls,20:34:00,
28,Yogyakarta (YK),20:39:00,20:44:00,
29,Lempuyangan (LPN),Ls,20:47:00,
30,Maguwo (MGW),Ls,20:52:00,
31,Brambanan (BBN),Ls,20:58:00,
32,Srowot (SWT),Ls,21:02:00,
33,Klaten (KT),21:08:00,21:10:00,
34,Ceper (CE),Ls,21:18:00,
35,Delanggu (DL),Ls,21:23:00,
36,Gawok (GW),Ls,21:27:00,
37,Purwosari (PWS),Ls,21:32:00,
38,Solobalapan (SLO),21:37:00,21:45:00,
