No.,Stasiun,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,11:25:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),Ls,11:35:00,
6,Bekasi (BKS),11:46:00,11:48:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,11:54:00,
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11,Cikarang (CKR),12:03:00,12:05:00,
12,Lemahabang (LMB),Ls,12:09:00,
13,Kedunggedeh (KDH),Ls,12:15:00,
14,Karawang (KW),Ls,12:19:00,
15,Klari (KLI),Ls,12:24:00,
16,Kosambi (KOS),Ls,12:27:00,// KA 330 (KA 330 =)
17,Dawuan (DWN),Ls,12:32:00,
18,Cikampek (CKP),Ls,12:35:00,
19,Tanjungrasa (TJS),Ls,12:42:00,
20,Pabuaran (PAB),Ls,12:45:00,
21,Pringkasap (PRI),Ls,12:49:00,
22,Pasirbungur (PAS),Ls,12:53:00,
23,Cikaum (CKM),Ls,12:57:00,
24,Pegadenbaru (PGB),13:04:00,13:06:00,
25,Cipunegara (CRA),Ls,13:12:00,
26,Haurgeulis (HGL),Ls,13:16:00,
27,Cilegeh (CLH),Ls,13:23:00,
28,Kadokangabus (KAB),Ls,13:28:00,
29,Terisi (TIS),13:33:00,13:35:00,
30,Telagasari (TLS),Ls,13:42:00,
31,Jatibarang (JTB),13:50:00,13:52:00,
32,Kertasemaya (KTM),Ls,13:59:00,
33,Arjawinangun (AWN),Ls,14:09:00,
34,Bangoduwa (BDW),Ls,14:13:00,
35,Cangkring (CNK),Ls,14:16:00,
36,Cirebon (CN),Ls,14:22:00,
37,Cirebon Prujakan (CNP),14:26:00,14:32:00,
38,Waruduwur (WDW),Ls,14:41:00,
39,Babakan (BBK),14:52:00,15:07:00,= KA 24 (KA 24 //)
40,Losari (LOS),Ls,15:15:00,
41,Tanjung (TGN),Ls,15:21:00,
42,Brebes (BB),15:37:00,15:39:00,
43,Tegal (TG),15:51:00,15:56:00,
44,Larangan (LR),Ls,16:02:00,
45,Surodadi (SD),Ls,16:09:00,
46,Pemalang (PML),Ls,16:17:00,
47,Petarukan (PTA),Ls,16:22:00,
48,Comal (CO),Ls,16:29:00,
49,Sragi (SRI),Ls,16:32:00,
50,Pekalongan (PK),16:42:00,16:45:00,
51,Batang (BTG),Ls,16:53:00,
52,Ujungnegoro (UJN),Ls,16:56:00,
53,Kuripan (KRP),Ls,17:04:00,
54,Plabuan (PLB),Ls,17:09:00,
55,Krengseng (KNS),Ls,17:16:00,
56,Weleri (WLR),17:22:00,17:24:00,
57,Kalibodri (KBD),Ls,17:31:00,
58,Kaliwungu (KLN),Ls,17:40:00,
59,Mangkang (MKG),Ls,17:44:00,
60,Jerakah (JRK),Ls,17:49:00,
61,Semarang Poncol (SMC),17:55:00,18:00:00,
62,Semarang Tawang (SMT),Ls,18:06:00,
63,Alastua (ATA),Ls,18:14:00,
64,Brumbung (BBG),Ls,18:20:00,
65,Tanggung (TGG),Ls,18:29:00,
66,Kedungjati (KEJ),18:40:00,18:47:00,X KA 151 (KA 151 X)
67,Padas (PDS),Ls,18:54:00,
68,Telawa (TW),Ls,19:03:00,X KA 231 (KA 231 X)
69,Karangsono (KSO),Ls,19:12:00,
70,Gundih (GD),Ls,19:22:00,
71,Goprak (GPK),Ls,19:28:00,
72,Sumberlawang (SUM),Ls,19:35:00,
73,Salem (SLM),Ls,19:43:00,
74,Kalioso (KO),Ls,19:50:00,
75,Kadipiro (KDO),Ls,19:57:00,
76,Solobalapan (SLO),Ls,20:04:00,
77,Solojebres (SK),20:08:00,20:13:00,
78,Palur (PL),Ls,20:18:00,
79,Kemiri (KMR),Ls,20:22:00,
80,Masaran (MSR),Ls,20:29:00,
81,Sragen (SR),20:37:00,20:39:00,
82,Kebonromo (KRO),Ls,20:45:00,
83,Kedungbanteng (KDB),Ls,20:50:00,
84,Walikukun (WK),21:01:00,21:03:00,
