No.,Stasiun,Datang,Berangkat,Keterangan
1,Tegal (TG),,17:55:00,
2,Larangan (LR),Ls,18:01:00,
3,Surodadi (SD),Ls,18:08:00,
4,Pemalang (PML),18:17:00,18:19:00,
5,Petarukan (PTA),Ls,18:25:00,
6,Comal (CO),Ls,18:32:00,
7,Sragi (SRI),Ls,18:35:00,
8,Pekalongan (PK),18:44:00,18:47:00,
9,Batang (BTG),18:57:00,18:59:00,
10,Ujungnegoro (UJN),Ls,19:04:00,
11,Kuripan (KRP),Ls,19:12:00,
12,Plabuan (PLB),Ls,19:18:00,
13,Krengseng (KNS),Ls,19:25:00,
14,Weleri (WLR),19:30:00,19:32:00,
15,Kalibodri (KBD),Ls,19:40:00,
16,Kaliwungu (KLN),Ls,19:49:00,
17,Mangkang (MKG),Ls,19:54:00,
18,Jerakah (JRK),Ls,19:59:00,
19,Semarang Poncol (SMC),20:06:00,,
