No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,23:35:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,23:44:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,23:49:00,
7,Bekasi (BKS),00:01:00,00:03:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,00:09:00,// KA 6082 (KA 6082 =)
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,00:16:00,
13,Lemahabang (LMB),Ls,00:19:00,// KA 2528 (KA 2528 =)
14,Kedunggedeh (KDH),Ls,00:25:00,
15,Karawang (KW),Ls,00:29:00,
16,Klari (KLI),Ls,00:33:00,
17,Kosambi (KOS),Ls,00:35:00,
18,Dawuan (DWN),Ls,00:39:00,
19,Cikampek (CKP),Ls,00:42:00,
20,Tanjungrasa (TJS),Ls,00:49:00,
21,Pabuaran (PAB),Ls,00:52:00,
22,Pringkasap (PRI),Ls,00:55:00,
23,Pasirbungur (PAS),Ls,00:59:00,
24,Cikaum (CKM),Ls,01:02:00,
25,Pegadenbaru (PGB),Ls,01:07:00,
26,Cipunegara (CRA),Ls,01:12:00,
27,Haurgeulis (HGL),Ls,01:16:00,
28,Cilegeh (CLH),Ls,01:22:00,
29,Kadokangabus (KAB),Ls,01:27:00,
30,Terisi (TIS),Ls,01:31:00,
31,Telagasari (TLS),Ls,01:36:00,
32,Jatibarang (JTB),Ls,01:42:00,
33,Kertasemaya (KTM),Ls,01:47:00,
34,Arjawinangun (AWN),Ls,01:56:00,
35,Bangoduwa (BDW),Ls,02:00:00,
36,Cangkring (CNK),Ls,02:04:00,
37,Cirebon (CN),02:10:00,02:16:00,
38,Cirebon Prujakan (CNP),Ls,02:20:00,
39,Waruduwur (WDW),Ls,02:27:00,
40,Babakan (BBK),Ls,02:35:00,
41,Losari (LOS),Ls,02:40:00,
42,Tanjung (TGN),Ls,02:45:00,
43,Brebes (BB),Ls,02:58:00,
44,Tegal (TG),03:08:00,03:11:00,
45,Larangan (LR),Ls,03:16:00,
46,Surodadi (SD),Ls,03:22:00,
47,Pemalang (PML),Ls,03:29:00,
48,Petarukan (PTA),Ls,03:33:00,
49,Comal (CO),Ls,03:39:00,
50,Sragi (SRI),Ls,03:42:00,
51,Pekalongan (PK),03:50:00,03:53:00,
52,Batang (BTG),Ls,04:01:00,
53,Ujungnegoro (UJN),Ls,04:05:00,
54,Kuripan (KRP),Ls,04:13:00,
55,Plabuan (PLB),Ls,04:18:00,
56,Krengseng (KNS),Ls,04:24:00,
57,Weleri (WLR),Ls,04:28:00,
58,Kalibodri (KBD),Ls,04:35:00,
59,Kaliwungu (KLN),Ls,04:43:00,
60,Mangkang (MKG),Ls,04:47:00,
61,Jerakah (JRK),Ls,04:51:00,
62,Semarang Poncol (SMC),Ls,04:56:00,
63,Semarang Tawang (SMT),05:02:00,05:13:00,
64,Alastua (ATA),Ls,05:21:00,
65,Brumbung (BBG),Ls,05:26:00,
66,Tegowanu (TGW),Ls,05:32:00,
67,Gubug (GUB),Ls,05:36:00,
68,Karangjati (KGT),Ls,05:44:00,
69,Sedadi (SDI),Ls,05:49:00,
70,Ngrombo (NBO),Ls,05:53:00,
71,Gambringan (GBN),Ls,05:55:00,
72,Jambon (JBN),Ls,06:03:00,
73,Panunggalan (PNL),Ls,06:06:00,
74,Kradenan (KNN),Ls,06:13:00,
75,Sulur (SL),Ls,06:19:00,
76,Doplang (DPL),Ls,06:25:00,
77,Randublatung (RBG),Ls,06:36:00,
78,Wadu (WDU),Ls,06:44:00,
79,Kapuan (KPA),Ls,06:48:00,
80,Cepu (CU),06:54:00,06:57:00,// KA 304 (KA 304 =)
81,Tobo (TBO),Ls,07:05:00,
82,Kalitidu (KIT),Ls,07:14:00,
83,Bojonegoro (BJ),07:25:00,07:27:00,
84,Kapas (KPS),Ls,07:33:00,
85,Sumberrejo (SRJ),Ls,07:38:00,
86,Bowerno (BWO),Ls,07:46:00,
87,Babat (BBT),Ls,07:52:00,
88,Gembong (GEB),Ls,07:56:00,
89,Pucuk (PC),Ls,07:59:00,
90,Surabayan (SBN),Ls,08:06:00,
91,Lamongan (LMG),Ls,08:11:00,
92,Duduk (DD),Ls,08:20:00,
93,Cerme (CME),Ls,08:26:00,
94,Benowo (BNW),Ls,08:29:00,
95,Kandangan (KDA),Ls,08:32:00,
96,Tandes (TES),Ls,08:34:00,
97,Surabaya Pasarturi (SBI),08:40:00,,
