No.,Stasiun,Datang,Berangkat,Keterangan
1,Ketapang (KTG),,19:30:00,
2,Argopuro (AGO),Ls,19:37:00,
3,Banyuwangi Kota (BWI),19:43:00,19:47:00,X KA 279 (KA 279 X)
4,Rogojampi (RGP),20:00:00,20:02:00,
5,Singojuruh (SGJ),Ls,20:09:00,
6,Temuguruh (TGR),20:15:00,20:17:00,
7,Kalisetail (KSL),20:26:00,20:35:00,X KA 249 (KA 249 X)
8,Sumberwadung (SWD),Ls,20:40:00,
9,Glenmore (GLM),Ls,20:46:00,
10,Kalibaru (KBR),20:54:00,20:56:00,
11,Mrawan (MRW),Ls,21:06:00,
12,Garahan (GRN),Ls,21:18:00,
13,Sempolan (SPL),Ls,21:23:00,
14,Ledokombo (LDO),Ls,21:32:00,
15,Kalisat (KLT),21:42:00,21:51:00,X KA 293 (KA 293 X)
16,Kotok (KTK),Ls,21:59:00,
17,Arjasa (AJ),Ls,22:03:00,
18,Jember (JR),22:10:00,22:15:00,
19,Mangli (MI),Ls,22:21:00,
20,Rambipuji (RBP),22:25:00,22:27:00,
21,Bangsalsari (BSS),Ls,22:34:00,
22,Tanggul (TGL),22:42:00,22:44:00,
23,Jatiroto (JTR),Ls,22:53:00,
24,Randuagung (RDA),Ls,23:01:00,
25,Klakah (KK),23:12:00,23:14:00,
26,Ranuyoso (RN),Ls,23:19:00,
27,Malasan (MLS),Ls,23:25:00,
28,Leces (LEC),Ls,23:33:00,
29,Probolinggo (PB),23:43:00,23:48:00,X KA 211F JJ (KA 211F JJ X)
30,Bayeman (BYM),Ls,23:58:00,
31,Grati (GI),00:09:00,00:18:00,X KA 147 (KA 147 X)
32,Rejoso (RO),Ls,00:23:00,
33,Pasuruan (PS),00:31:00,00:33:00,
34,Bangil (BG),00:51:00,01:25:00,(KA 159 X)
