No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambringan (GBN),23:29:00,23:34:00,MENERUSKAN PERJALANAN KA 237F
2,Jambon (JBN),Ls,23:45:00,
3,Panunggalan (PNL),Ls,23:50:00,
4,Kradenan (KNN),23:59:00,00:01:00,
5,Sulur (SL),Ls,00:09:00,
6,Doplang (DPL),Ls,00:14:00,
7,Randublatung (RBG),00:27:00,00:29:00,
8,Wadu (WDU),Ls,00:41:00,
9,Kapuan (KPA),Ls,00:46:00,
10,Cepu (CU),00:53:00,00:56:00,
11,Tobo (TBO),Ls,01:04:00,
12,Kalitidu (KIT),Ls,01:14:00,
13,Bojonegoro (BJ),01:26:00,01:29:00,
14,Kapas (KPS),Ls,01:36:00,
15,Sumberrejo (SRJ),Ls,01:42:00,
16,Bowerno (BWO),Ls,01:50:00,
17,Babat (BBT),01:58:00,02:00:00,
18,Gembong (GEB),Ls,02:06:00,
19,Pucuk (PC),Ls,02:10:00,
20,Surabayan (SBN),Ls,02:17:00,
21,Lamongan (LMG),02:24:00,02:26:00,
22,Duduk (DD),Ls,02:35:00,
23,Cerme (CME),Ls,02:42:00,
24,Benowo (BNW),Ls,02:46:00,
25,Kandangan (KDA),Ls,02:50:00,
26,Tandes (TES),Ls,02:52:00,
27,Surabaya Pasarturi (SBI),02:58:00,,
