No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabayagubeng (SGU),,18:10:00,
2,Ngagel (NGA),Ls,-,
3,Wonokromo (WO),Ls,18:17:00,
4,Sepanjang (SPJ),Ls,18:21:00,(KA 428 X)
5,Boharan (BH),Ls,-,
6,Krian (KRN),Ls,18:30:00,
7,Kedinding (KDN),Ls,-,
8,Tarik (TRK),Ls,18:36:00,
9,Mojokerto (MR),18:45:00,18:47:00,
10,Curahmalang (CRM),Ls,-,
11,Sumobito (SBO),Ls,18:56:00,
12,Peterongan (PTR),Ls,-,
13,Jombang (JG),19:05:00,19:08:00,
14,Sembung (SMB),Ls,19:15:00,
15,Kertosono (KTS),19:21:00,19:24:00,
16,Baron (BRN),Ls,19:30:00,
17,Sukomoro (SKM),Ls,19:36:00,
18,Nganjuk (NJ),19:41:00,19:44:00,
19,Bagor (BGR),Ls,19:50:00,
20,Saradan (SRD),Ls,20:00:00,
21,Caruban (CRB),Ls,20:05:00,// KA 273 (KA 273 =)
22,Babadan (BBD),Ls,20:10:00,
23,Madiun (MN),20:17:00,20:22:00,
24,Magetan (MAG),Ls,20:30:00,
25,Geneng (GG),Ls,20:35:00,
26,Ngawi (NGW),Ls,20:39:00,
27,Kedunggalar (KG),Ls,20:44:00,
28,Walikukun (WK),Ls,20:51:00,
29,Kedungbanteng (KDB),Ls,20:59:00,
30,Kebonromo (KRO),Ls,21:03:00,
31,Sragen (SR),Ls,21:06:00,
32,Masaran (MSR),Ls,21:11:00,
33,Kemiri (KMR),Ls,21:16:00,
34,Palur (PL),Ls,21:19:00,
35,Solojebres (SK),Ls,21:23:00,
36,Solobalapan (SLO),21:27:00,21:30:00,
37,Purwosari (PWS),Ls,21:34:00,
38,Gawok (GW),Ls,21:38:00,
39,Delanggu (DL),Ls,21:42:00,
40,Ceper (CE),Ls,21:46:00,
41,Klaten (KT),Ls,21:51:00,// KA 157 (KA 157 =)
42,Srowot (SWT),Ls,21:55:00,
43,Brambanan (BBN),Ls,21:58:00,
44,Maguwo (MGW),Ls,22:03:00,
45,Lempuyangan (LPN),Ls,22:07:00,
46,Yogyakarta (YK),22:11:00,22:16:00,
47,Patukan (PTN),Ls,22:21:00,
48,Rewulu (RWL),Ls,22:24:00,
49,Sentolo (STL),Ls,22:30:00,
50,Wates (WT),Ls,22:38:00,
51,Kedundang (KDG),Ls,22:42:00,
52,Wojo (WJ),Ls,22:46:00,
53,Jenar (JN),Ls,22:52:00,
54,Kutoarjo (KTA),23:02:00,23:07:00,
55,Butuh (BTH),Ls,23:12:00,
56,Prembun (PRB),Ls,23:16:00,
57,Kutowinangun (KWN),Ls,23:20:00,
58,Wonosari (WNS),Ls,23:22:00,
59,Kebumen (KM),23:27:00,23:29:00,
60,Sruweng (SRW),Ls,23:36:00,
61,Karanganyar (KA),Ls,23:38:00,
62,Gombong (GB),23:45:00,23:47:00,
63,Ijo (IJ),Ls,23:54:00,
64,Tambak (TBK),Ls,23:57:00,
65,Sumpiuh (SPH),Ls,00:00:00,
66,Kemranjen (KJ),Ls,00:03:00,
67,Kroya (KYA),00:09:00,00:12:00,
68,Sikampuh (SKP),Ls,00:18:00,
69,Maos (MA),00:24:00,00:32:00,X KA 72 (KA 72 X)
70,Kasugihan (KH),Ls,00:35:00,(KA 2750F X)
71,Lebeng (LBG),Ls,00:38:00,
72,Jeruklegi (JRL),Ls,00:42:00,
73,Kawunganten (KWG),Ls,00:53:00,
74,Gandrungmangun (GDM),Ls,00:59:00,
75,Sidareja (SDR),01:05:00,01:07:00,X KA 292 (KA 292 X)
76,Cipari (CPI),Ls,01:13:00,
77,Meluwung (MLW),Ls,01:19:00,
78,Langen (LN),Ls,01:24:00,
79,Banjar (BJR),01:33:00,01:37:00,
80,Karangpucung (KNP),Ls,01:43:00,
81,Bojong (BJG),Ls,01:51:00,
82,Ciamis (CI),02:00:00,02:02:00,X KA 274 (KA 274 X)
83,Manonjaya (MNJ),Ls,02:16:00,
84,Awipari (AW),Ls,02:19:00,
85,Tasikmalaya (TSM),02:26:00,02:29:00,X KA 288 (KA 288 X)
86,Indihiang (IH),Ls,02:35:00,
87,Rajapolah (RJP),Ls,02:42:00,
88,Ciawi (CAW),Ls,02:51:00,
89,Cirahayu (CAA),Ls,03:00:00,
90,Cipeundeuy (CPD),03:13:00,03:23:00,
91,Bumiwaluya (BMW),Ls,03:33:00,
92,Warungbandrek (WB),Ls,03:45:00,
93,Cibatu (CB),Ls,03:53:00,
94,Leuwigoong (LO),Ls,-,
95,Karangsari (KRAI),Ls,04:01:00,
96,Leles (LL),Ls,04:06:00,
97,Lebakjero (LBJ),Ls,04:17:00,
98,Nagreg (NG),Ls,04:25:00,
99,Cicalengka (CCL),Ls,04:38:00,
100,Haurpugur (HRP),Ls,04:40:30,
101,Rancaekek (RCK),Ls,04:46:00,
102,Cimekar (CMK),Ls,-,
103,Gedebage (GDB),Ls,04:51:00,
104,Kiaracondong (KAC),04:58:00,05:05:00,
105,Cikudapateuh (CTH),Ls,-,
106,Bandung (BD),05:15:00,,
