,train_number,train_class,train_name,departure_time,arrival_time,origin_station,destination_station
291,294,KA EKONOMI,TAWANGALUN,05:00:00,10:23:00,KTG,BG
292,295,KA EKONOMI,TAWANGALUN,10:45:00,12:09:00,BG,MLK
293,297,KA EKONOMI,PROBOWANGI,05:55:00,12:45:00,SGU,KTG
294,298,KA EKONOMI,PROBOWANGI,17:20:00,23:55:00,KTG,SGU
295,299,KA EKONOMI,CIKURAY,06:05:00,11:35:00,GRT,PSE
296,300,KA EKONOMI,CIKURAY,17:20:00,22:52:00,PSE,GRT
297,521,KA BANDARA,BANDARA YIA,04:20:00,04:59:00,YK,YIA
298,522,KA BANDARA,BANDARA YIA,05:16:00,05:55:00,YIA,YK
299,523,KA BANDARA,BANDARA YIA,06:30:00,07:09:00,YK,YIA
300,524,KA BANDARA,BANDARA YIA,07:46:00,08:25:00,YIA,YK
301,525,KA BANDARA,BANDARA YIA,08:33:00,09:12:00,YK,YIA
302,526,KA BANDARA,BANDARA YIA,09:53:00,10:32:00,YIA,YK
303,527,KA BANDARA,BANDARA YIA,12:00:00,12:39:00,YK,YIA
304,528,KA BANDARA,BANDARA YIA,13:25:00,14:04:00,YIA,YK
305,529,KA BANDARA,BANDARA YIA,14:13:00,14:52:00,YK,YIA
306,530,KA BANDARA,BANDARA YIA,15:20:00,15:59:00,YIA,YK
307,531,KA BANDARA,BANDARA YIA,16:07:00,16:46:00,YK,YIA
308,532,KA BANDARA,BANDARA YIA,17:34:00,18:13:00,YIA,YK
309,533,KA BANDARA,BANDARA YIA,19:16:00,19:55:00,YK,YIA
310,534,KA BANDARA,BANDARA YIA,20:55:00,21:34:00,YIA,YK
311,535,KA BANDARA,BANDARA YIA,07:40:00,08:15:00,YK,YIA
312,536,KA BANDARA,BANDARA YIA,08:40:00,09:15:00,YIA,YK
313,537,KA BANDARA,BANDARA YIA,09:28:00,10:03:00,YK,YIA
314,538,KA BANDARA,BANDARA YIA,10:20:00,10:55:00,YIA,YK
315,539,KA BANDARA,BANDARA YIA,11:03:00,11:38:00,YK,YIA
316,540,KA BANDARA,BANDARA YIA,12:24:00,12:59:00,YIA,YK
317,541,KA BANDARA,BANDARA YIA,15:02:00,15:37:00,YK,YIA
318,542,KA BANDARA,BANDARA YIA,15:45:00,16:20:00,YIA,YK
319,543,KA BANDARA,BANDARA YIA,16:48:00,17:23:00,YK,YIA
320,544,KA BANDARA,BANDARA YIA,18:54:00,19:29:00,YIA,YK
321,545,KA BANDARA,BANDARA YIA,20:12:00,20:47:00,YK,YIA
322,546,KA BANDARA,BANDARA YIA,21:30:00,22:05:00,YIA,YK
323,547F,KA BANDARA,BANDARA YIA,06:00:00,06:35:00,YK,YIA
324,548F,KA BANDARA,BANDARA YIA,07:00:00,07:35:00,YIA,YK
325,549,KA BANDARA,BANDARA YIA,07:57:00,08:32:00,YK,YIA
326,550,KA BANDARA,BANDARA YIA,09:05:00,09:40:00,YIA,YK
327,551,KA BANDARA,BANDARA YIA,09:51:00,10:26:00,YK,YIA
328,552,KA BANDARA,BANDARA YIA,10:54:00,11:29:00,YIA,YK
329,553,KA BANDARA,BANDARA YIA,13:28:00,14:03:00,YK,YIA
330,554,KA BANDARA,BANDARA YIA,14:45:00,15:20:00,YIA,YK
331,555,KA BANDARA,BANDARA YIA,15:30:00,16:05:00,YK,YIA
332,556,KA BANDARA,BANDARA YIA,16:17:00,16:52:00,YIA,YK
333,557,KA BANDARA,BANDARA YIA,17:15:00,17:50:00,YK,YIA
334,558,KA BANDARA,BANDARA YIA,18:00:00,18:35:00,YIA,YK
335,559,KA BANDARA,BANDARA YIA,18:50:00,19:25:00,YK,YIA
336,560,KA BANDARA,BANDARA YIA,20:15:00,20:50:00,YIA,YK
337,561,KA BANDARA,BANDARA YIA,05:10:00,05:49:00,YK,YIA
338,562,KA BANDARA,BANDARA YIA,06:20:00,06:59:00,YIA,YK
339,563,KA BANDARA,BANDARA YIA,08:55:00,09:34:00,YK,YIA
340,564,KA BANDARA,BANDARA YIA,11:35:00,12:14:00,YIA,YK
341,565,KA BANDARA,BANDARA YIA,12:35:00,13:14:00,YK,YIA
342,566,KA BANDARA,BANDARA YIA,14:56:00,15:35:00,YIA,YK
343,567,KA BANDARA,BANDARA YIA,15:49:00,16:28:00,YK,YIA
344,568,KA BANDARA,BANDARA YIA,17:00:00,17:39:00,YIA,YK
345,569,KA BANDARA,BANDARA YIA,18:25:00,19:04:00,YK,YIA
346,570,KA BANDARA,BANDARA YIA,19:46:00,20:25:00,YIA,YK
347,571,KA BANDARA,BANDARA SMO,06:00:00,07:59:00,MN,SMO
348,572,KA BANDARA,BANDARA SMO,08:35:00,10:35:00,SMO,MN
349,573,KA BANDARA,BANDARA SMO,11:35:00,13:34:00,MN,SMO
350,574,KA BANDARA,BANDARA SMO,14:05:00,16:05:00,SMO,MN
351,575,KA BANDARA,BANDARA SMO,16:20:00,18:20:00,MN,SMO
352,576,KA BANDARA,BANDARA SMO,06:00:00,07:59:00,SMO,MN
353,577,KA BANDARA,BANDARA SMO,08:10:00,10:55:00,MN,SMO
354,578,KA BANDARA,BANDARA SMO,12:00:00,14:15:00,SMO,MN
355,579,KA BANDARA,BANDARA SMO,15:00:00,17:18:00,MN,SMO
356,580,KA BANDARA,BANDARA SMO,17:30:00,19:30:00,SMO,MN
