,train_number,train_class,train_name,departure_time,arrival_time,origin_station,destination_station
72,73,KA EKSEKUTIF EKONOMI,SENJA UTAMA SOLO,18:55:00,02:47:00,SLO,PSE
73,74,KA EKSEKUTIF EKONOMI,FAJAR UTAMA SOLO,05:40:00,13:22:00,PSE,SLO
74,75,KA EKSEKUTIF EKONOMI,MATARAM,08:50:00,16:36:00,SLO,PSE
75,76,KA EKSEKUTIF EKONOMI,MATARAM,21:40:00,05:30:00,PSE,SLO
76,77,KA EKSEKUTIF EKONOMI,LODAYA,07:20:00,15:27:00,SLO,BD
77,78,KA EKSEKUTIF EKONOMI,LODAYA,06:30:00,14:18:00,BD,SLO
78,79,KA EKSEKUTIF EKONOMI,LODAYA,19:10:00,03:14:00,SLO,BD
79,80,KA EKSEKUTIF EKONOMI,LODAYA,19:00:00,02:45:00,BD,SLO
80,81,KA EKSEKUTIF EKONOMI,SANCAKA,07:00:00,11:00:00,SGU,YK
81,82,KA EKSEKUTIF EKONOMI,SANCAKA,11:30:00,15:30:00,YK,SGU
82,83,KA EKSEKUTIF EKONOMI,SANCAKA,16:30:00,20:35:00,SGU,YK
83,84,KA EKSEKUTIF EKONOMI,SANCAKA,06:45:00,10:45:00,YK,SGU
84,85,KA EKSEKUTIF EKONOMI,SANCAKA,11:15:00,15:15:00,SGU,YK
85,86,KA EKSEKUTIF EKONOMI,SANCAKA,17:00:00,21:00:00,YK,SGU
86,87F,KA EKSEKUTIF EKONOMI,SANCAKA,22:00:00,02:00:00,SGU,YK
87,88F,KA EKSEKUTIF EKONOMI,SANCAKA,22:25:00,02:25:00,YK,SGU
88,89,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,06:30:00,19:03:00,SGU,PSE
89,90,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,11:10:00,23:35:00,PSE,SGU
90,92,KA EKSEKUTIF EKONOMI,JAYABAYA,22:15:00,08:09:00,PSE,SBI
91,93,KA EKSEKUTIF EKONOMI,JAYABAYA,08:18:00,10:45:00,SBI,ML
92,94,KA EKSEKUTIF EKONOMI,JAYABAYA,13:45:00,15:55:00,ML,SBI
93,91,KA EKSEKUTIF EKONOMI,JAYABAYA,16:07:00,01:58:00,SBI,PSE
94,95,KA EKSEKUTIF EKONOMI,HARINA,17:45:00,01:48:00,SBI,CKP
95,98,KA EKSEKUTIF EKONOMI,HARINA,02:18:00,04:15:00,CKP,BD
96,97,KA EKSEKUTIF EKONOMI,HARINA,21:35:00,23:35:00,BD,CKP
97,96,KA EKSEKUTIF EKONOMI,HARINA,00:08:00,08:25:00,CKP,SBI
98,99,KA EKSEKUTIF EKONOMI,HARINA,05:50:00,13:46:00,SBI,CKP
99,102,KA EKSEKUTIF EKONOMI,HARINA,14:12:00,16:20:00,CKP,BD
100,101,KA EKSEKUTIF EKONOMI,HARINA,09:35:00,11:45:00,BD,CKP
101,100,KA EKSEKUTIF EKONOMI,HARINA,12:10:00,20:10:00,CKP,SBI
102,103,KA EKSEKUTIF EKONOMI,BOGOWONTO,08:15:00,15:53:00,LPN,PSE
103,104,KA EKSEKUTIF EKONOMI,BOGOWONTO,18:10:00,01:47:00,PSE,LPN
104,105,KA EKSEKUTIF EKONOMI,GAJAHWONG,20:40:00,04:32:00,LPN,PSE
105,106,KA EKSEKUTIF EKONOMI,GAJAHWONG,07:55:00,15:50:00,PSE,LPN
106,107,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,17:30:00,00:30:00,YK,PSE
107,108,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,19:00:00,02:00:00,PSE,YK
108,109,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,07:00:00,14:20:00,YK,PSE
109,110,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,07:35:00,15:10:00,PSE,YK
110,111,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,06:30:00,12:40:00,KTA,PSE
111,112,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,13:15:00,19:15:00,PSE,KTA
112,113,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,20:15:00,02:25:00,KTA,PSE
113,114,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,06:30:00,12:50:00,PSE,KTA
114,115,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,13:50:00,19:40:00,KTA,PSE
115,116,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,20:10:00,02:13:00,PSE,KTA
116,117,KA EKSEKUTIF EKONOMI,GUNUNGJATI,05:40:00,08:27:00,CN,GMR
117,118,KA EKSEKUTIF EKONOMI,GUNUNGJATI,09:00:00,14:43:00,GMR,SMT
118,119,KA EKSEKUTIF EKONOMI,GUNUNGJATI,15:45:00,21:35:00,SMT,GMR
119,120,KA EKSEKUTIF EKONOMI,GUNUNGJATI,22:05:00,01:05:00,GMR,CN
120,121,KA EKSEKUTIF EKONOMI,CAKRABUANA,05:30:00,10:24:00,PWT,GMR
121,122,KA EKSEKUTIF EKONOMI,CAKRABUANA,10:50:00,13:50:00,GMR,CN
122,123,KA EKSEKUTIF EKONOMI,CAKRABUANA,16:00:00,18:43:00,CN,GMR
123,124,KA EKSEKUTIF EKONOMI,CAKRABUANA,19:10:00,00:08:00,GMR,PWT
124,125F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,20:30:00,23:24:00,CN,GMR
125,126F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,23:55:00,02:50:00,GMR,CN
126,127,KA EKSEKUTIF EKONOMI,PANGANDARAN,17:00:00,01:10:00,BJR,GMR
127,128,KA EKSEKUTIF EKONOMI,PANGANDARAN,08:30:00,16:08:00,GMR,BJR
128,129,KA EKSEKUTIF EKONOMI,PAPANDAYAN,12:40:00,18:00:00,GRT,GMR
129,130,KA EKSEKUTIF EKONOMI,PAPANDAYAN,06:35:00,11:45:00,GMR,GRT
130,131,KA EKSEKUTIF EKONOMI,PARAHYANGAN,05:00:00,08:00:00,BD,GMR
131,132,KA EKSEKUTIF,PARAHYANGAN,07:30:00,10:21:00,GMR,BD
132,133,KA EKSEKUTIF,PARAHYANGAN,11:05:00,14:12:00,BD,GMR
133,134,KA EKSEKUTIF EKONOMI,PARAHYANGAN,18:25:00,21:20:00,GMR,BD
134,135,KA EKSEKUTIF EKONOMI,PARAHYANGAN,06:35:00,09:40:00,BD,GMR
135,136,KA EKSEKUTIF EKONOMI,PARAHYANGAN,10:05:00,13:18:00,GMR,BD
136,137,KA EKSEKUTIF EKONOMI,PARAHYANGAN,13:05:00,16:04:00,BD,GMR
137,138,KA EKSEKUTIF,PARAHYANGAN,09:15:00,12:18:00,GMR,BD
138,139,KA EKSEKUTIF,PARAHYANGAN,19:25:00,22:24:00,BD,GMR
139,140,KA EKSEKUTIF,PARAHYANGAN,23:05:00,02:02:00,GMR,BD
140,141F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,10:25:00,13:13:00,BD,GMR
141,142F,KA EKSEKUTIF,PARAHYANGAN FAKULTATIF,13:40:00,16:42:00,GMR,BD
142,143,KA EKSEKUTIF EKONOMI,MADIUN JAYA,08:00:00,17:03:00,MN,PSE
143,144,KA EKSEKUTIF EKONOMI,MADIUN JAYA,21:10:00,06:05:00,PSE,MN
144,146,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,12:10:00,22:15:00,PSE,SBI
145,147,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,22:25:00,04:40:00,SBI,KTG
146,148,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,15:45:00,21:57:00,KTG,SBI
147,145,KA EKSEKUTIF EKONOMI,BLAMBANGAN EKSPRES,22:10:00,08:16:00,SBI,PSE
148,149,KA EKSEKUTIF EKONOMI,SINGASARI,16:40:00,05:33:00,BL,PSE
149,150,KA EKSEKUTIF EKONOMI,SINGASARI,21:55:00,11:30:00,PSE,BL
150,151,KA EKSEKUTIF EKONOMI,BRANTAS,12:55:00,01:40:00,BL,PSE
151,152,KA EKSEKUTIF EKONOMI,BRANTAS,14:10:00,03:15:00,PSE,BL
152,156,KA EKSEKUTIF EKONOMI,RANGGAJATI,05:45:00,09:09:00,JR,SGU
153,153,KA EKSEKUTIF EKONOMI,RANGGAJATI,09:45:00,19:23:00,SGU,CN
154,154,KA EKSEKUTIF EKONOMI,RANGGAJATI,07:00:00,16:27:00,CN,SGU
155,155,KA EKSEKUTIF EKONOMI,RANGGAJATI,16:58:00,20:25:00,SGU,JR
156,158,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,15:20:00,23:18:00,CP,SGU
157,159,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,23:48:00,05:40:00,SGU,KTG
158,160,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,11:00:00,16:53:00,KTG,SGU
159,157,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,17:20:00,01:11:00,SGU,CP
160,161,KA EKSEKUTIF EKONOMI,BANGUNKARTA,06:55:00,18:33:00,JG,PSE
161,162,KA EKSEKUTIF EKONOMI,BANGUNKARTA,12:25:00,23:50:00,PSE,JG
162,163,KA EKSEKUTIF EKONOMI,GUMARANG,15:00:00,01:10:00,SBI,PSE
163,164,KA EKSEKUTIF EKONOMI,GUMARANG,21:30:00,07:58:00,PSE,SBI
164,165,KA EKSEKUTIF EKONOMI,DHARMAWANGSA EKSPRES,23:00:00,09:20:00,SBI,PSE
