,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
55,53F,KA EKSEKUTIF,PURWOJAYA,08:00:00,12:55:00,KYA,GMR,Kroya,Gambir
56,58F,KA EKSEKUTIF,PURWOJAYA,13:25:00,18:19:00,GMR,KYA,Gambir,Kroya
57,59F,KA EKSEKUTIF,PURWOJAYA,18:39:00,19:17:00,KYA,CP,Kroya,Cilacap
58,60F,KA EKSEKUTIF,PURWOJAYA,20:05:00,20:49:00,CP,KYA,Cilacap,Kroya
59,57F,KA EKSEKUTIF,PURWOJAYA,21:09:00,02:10:00,KYA,GMR,Kroya,Gambir
60,61,KA EKSEKUTIF,MANAHAN,09:50:00,17:31:00,SLO,GMR,Solo Balapan,Gambir
61,62,KA EKSEKUTIF,MANAHAN,10:30:00,18:18:00,GMR,SLO,Gambir,Solo Balapan
62,63,KA EKSEKUTIF,MANAHAN,22:35:00,06:33:00,SLO,GMR,Solo Balapan,Gambir
63,64,KA EKSEKUTIF,MANAHAN,22:50:00,06:30:00,GMR,SLO,Gambir,Solo Balapan
64,65F,KA EKSEKUTIF,ARJUNO EKSPRES,10:10:00,12:06:00,SGU,ML,Surabaya Gubeng,Malang
65,66F,KA EKSEKUTIF,ARJUNO EKSPRES,05:30:00,07:29:00,ML,SGU,Malang,Surabaya Gubeng
66,67,KA EKSEKUTIF EKONOMI,MALABAR,16:50:00,05:45:00,ML,BD,Malang,Bandung
67,68,KA EKSEKUTIF EKONOMI,MALABAR,18:10:00,06:52:00,BD,ML,Bandung,Malang
68,69,KA EKSEKUTIF EKONOMI,MALABAR,05:25:00,18:05:00,ML,BD,Malang,Bandung
69,70,KA EKSEKUTIF EKONOMI,MALABAR,09:30:00,22:36:00,BD,ML,Bandung,Malang
70,71,KA EKSEKUTIF EKONOMI,MUTIARA SELATAN,18:10:00,05:15:00,SGU,BD,Surabaya Gubeng,Bandung
71,72,KA EKSEKUTIF EKONOMI,MUTIARA SELATAN,20:00:00,06:42:00,BD,SGU,Bandung,Surabaya Gubeng
72,73,KA EKSEKUTIF EKONOMI,SENJA UTAMA SOLO,18:55:00,02:47:00,SLO,PSE,Solo Balapan,Pasar Senen
73,74,KA EKSEKUTIF EKONOMI,FAJAR UTAMA SOLO,05:40:00,13:22:00,PSE,SLO,Pasar Senen,Solo Balapan
74,75,KA EKSEKUTIF EKONOMI,MATARAM,08:50:00,16:36:00,SLO,PSE,Solo Balapan,Pasar Senen
75,76,KA EKSEKUTIF EKONOMI,MATARAM,21:40:00,05:30:00,PSE,SLO,Pasar Senen,Solo Balapan
76,77,KA EKSEKUTIF EKONOMI,LODAYA,07:20:00,15:27:00,SLO,BD,Solo Balapan,Bandung
77,78,KA EKSEKUTIF EKONOMI,LODAYA,06:30:00,14:18:00,BD,SLO,Bandung,Solo Balapan
78,79,KA EKSEKUTIF EKONOMI,LODAYA,19:10:00,03:14:00,SLO,BD,Solo Balapan,Bandung
79,80,KA EKSEKUTIF EKONOMI,LODAYA,19:00:00,02:45:00,BD,SLO,Bandung,Solo Balapan
