,id,province_id,name,alt_name,latitude,longitude
0,1101,11,KABUPATEN SIMEULUE,KABUPATEN SIMEULUE,2.61667,96.08333
1,1102,11,KABUPATEN ACEH SINGKIL,KABUPATEN ACEH SINGKIL,2.41667,97.91667
2,1103,11,KABUPATEN ACEH SELATAN,KABUPATEN ACEH SELATAN,3.16667,97.41667
3,1104,11,KABUPATEN ACEH TENGGARA,KABUPATEN ACEH TENGGARA,3.36667,97.7
4,1105,11,KABUPATEN ACEH TIMUR,KABUPATEN ACEH TIMUR,4.63333,97.63333
5,1106,11,KABUPATEN ACEH TENGAH,KABUPATEN ACEH TENGAH,4.51,96.855
6,1107,11,KABUPATEN ACEH BARAT,KABUPATEN ACEH BARAT,4.45,96.16667
7,1108,11,KABUPATEN ACEH BESAR,KABUPATEN ACEH BESAR,5.38333,95.51667
8,1109,11,KABUPATEN PIDIE,KABUPATEN PIDIE,5.08,96.11
9,1110,11,KABUPATEN BIREUEN,KABUPATEN BIREUEN,5.08333,96.58333
10,1111,11,KABUPATEN ACEH UTARA,KABUPATEN ACEH UTARA,4.97,97.14
11,1112,11,KABUPATEN ACEH BARAT DAYA,KABUPATEN ACEH BARAT DAYA,3.83333,96.88333
12,1113,11,KABUPATEN GAYO LUES,KABUPATEN GAYO LUES,3.95,97.39
13,1114,11,KABUPATEN ACEH TAMIANG,KABUPATEN ACEH TAMIANG,4.25,97.96667
14,1115,11,KABUPATEN NAGAN RAYA,KABUPATEN NAGAN RAYA,4.16667,96.51667
15,1116,11,KABUPATEN ACEH JAYA,KABUPATEN ACEH JAYA,4.86,95.64
16,1117,11,KABUPATEN BENER MERIAH,KABUPATEN BENER MERIAH,4.73015,96.86156
17,1118,11,KABUPATEN PIDIE JAYA,KABUPATEN PIDIE JAYA,5.15,96.21667
18,1171,11,KOTA BANDA ACEH,KOTA BANDA ACEH,5.54167,95.33333
19,1172,11,KOTA SABANG,KOTA SABANG,5.82164,95.31086
20,1173,11,KOTA LANGSA,KOTA LANGSA,4.47,97.93
21,1174,11,KOTA LHOKSEUMAWE,KOTA LHOKSEUMAWE,5.13333,97.06667
22,1175,11,KOTA SUBULUSSALAM,KOTA SUBULUSSALAM,2.75,97.93333
23,1201,12,KABUPATEN NIAS,KABUPATEN NIAS,1.03333,97.76667
24,1202,12,KABUPATEN MANDAILING NATAL,KABUPATEN MANDAILING NATAL,0.78378,99.25495
25,1203,12,KABUPATEN TAPANULI SELATAN,KABUPATEN TAPANULI SELATAN,1.51667,99.25
26,1204,12,KABUPATEN TAPANULI TENGAH,KABUPATEN TAPANULI TENGAH,1.9,98.66667
27,1205,12,KABUPATEN TAPANULI UTARA,KABUPATEN TAPANULI UTARA,2.0028,99.0707
28,1206,12,KABUPATEN TOBA SAMOSIR,KABUPATEN TOBA SAMOSIR,2.39793,99.21678
29,1207,12,KABUPATEN LABUHAN BATU,KABUPATEN LABUHAN BATU,2.26667,100.1
30,1208,12,KABUPATEN ASAHAN,KABUPATEN ASAHAN,2.7833300000000003,99.55
31,1209,12,KABUPATEN SIMALUNGUN,KABUPATEN SIMALUNGUN,2.9,99.0
32,1210,12,KABUPATEN DAIRI,KABUPATEN DAIRI,2.86667,98.23333
33,1211,12,KABUPATEN KARO,KABUPATEN KARO,3.11667,98.3
34,1212,12,KABUPATEN DELI SERDANG,KABUPATEN DELI SERDANG,3.41667,98.66667
35,1213,12,KABUPATEN LANGKAT,KABUPATEN LANGKAT,3.71667,98.21667
36,1214,12,KABUPATEN NIAS SELATAN,KABUPATEN NIAS SELATAN,0.77,97.75
37,1215,12,KABUPATEN HUMBANG HASUNDUTAN,KABUPATEN HUMBANG HASUNDUTAN,2.26551,98.50376
38,1216,12,KABUPATEN PAKPAK BHARAT,KABUPATEN PAKPAK BHARAT,2.5666700000000002,98.28333
39,1217,12,KABUPATEN SAMOSIR,KABUPATEN SAMOSIR,2.64025,98.71525
40,1218,12,KABUPATEN SERDANG BEDAGAI,KABUPATEN SERDANG BEDAGAI,3.36667,99.03333
41,1219,12,KABUPATEN BATU BARA,KABUPATEN BATU BARA,3.16166,99.52652
42,1220,12,KABUPATEN PADANG LAWAS UTARA,KABUPATEN PADANG LAWAS UTARA,1.46011,99.67346
43,1221,12,KABUPATEN PADANG LAWAS,KABUPATEN PADANG LAWAS,1.44684,99.99207
44,1222,12,KABUPATEN LABUHAN BATU SELATAN,KABUPATEN LABUHAN BATU SELATAN,1.983,100.0976
45,1223,12,KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,2.33349,99.63776
46,1224,12,KABUPATEN NIAS UTARA,KABUPATEN NIAS UTARA,1.33037,97.31964
47,1225,12,KABUPATEN NIAS BARAT,KABUPATEN NIAS BARAT,1.05966,97.58606
48,1271,12,KOTA SIBOLGA,KOTA SIBOLGA,1.73333,98.8
49,1272,12,KOTA TANJUNG BALAI,KOTA TANJUNG BALAI,2.95833,99.79167
50,1273,12,KOTA PEMATANG SIANTAR,KOTA PEMATANG SIANTAR,2.96667,99.05
51,1274,12,KOTA TEBING TINGGI,KOTA TEBING TINGGI,3.325,99.14167
52,1275,12,KOTA MEDAN,KOTA MEDAN,3.65,98.66667
53,1276,12,KOTA BINJAI,KOTA BINJAI,3.8,108.23333
54,1277,12,KOTA PADANG SIDEMPUAN,KOTA PADANG SIDEMPUAN,1.37375,99.26843
55,1278,12,KOTA GUNUNGSITOLI,KOTA GUNUNGSITOLI,1.32731,97.55018
56,1301,13,KABUPATEN KEPULAUAN MENTAWAI,KABUPATEN KEPULAUAN MENTAWAI,1.98917,99.51889
57,1302,13,KABUPATEN PESISIR SELATAN,KABUPATEN PESISIR SELATAN,-1.5833300000000001,100.85
58,1303,13,KABUPATEN SOLOK,KABUPATEN SOLOK,-0.96667,100.81667
59,1304,13,KABUPATEN SIJUNJUNG,KABUPATEN SIJUNJUNG,-1.1827,101.6056
60,1305,13,KABUPATEN TANAH DATAR,KABUPATEN TANAH DATAR,-0.4555,100.5771
61,1306,13,KABUPATEN PADANG PARIAMAN,KABUPATEN PADANG PARIAMAN,-0.6000000000000001,100.28333
62,1307,13,KABUPATEN AGAM,KABUPATEN AGAM,-0.25,100.16667
63,1308,13,KABUPATEN LIMA PULUH KOTA,KABUPATEN LIMA PULUH KOTA,-0.016800000000000002,100.5872
64,1309,13,KABUPATEN PASAMAN,KABUPATEN PASAMAN,0.42503,99.94606
65,1310,13,KABUPATEN SOLOK SELATAN,KABUPATEN SOLOK SELATAN,-1.23333,101.417
66,1311,13,KABUPATEN DHARMASRAYA,KABUPATEN DHARMASRAYA,-1.05,101.367
67,1312,13,KABUPATEN PASAMAN BARAT,KABUPATEN PASAMAN BARAT,0.28152000000000005,99.51965
68,1371,13,KOTA PADANG,KOTA PADANG,-0.98333,100.45
69,1372,13,KOTA SOLOK,KOTA SOLOK,-0.7666700000000001,100.61667
70,1373,13,KOTA SAWAH LUNTO,KOTA SAWAH LUNTO,-0.6000000000000001,100.75
71,1374,13,KOTA PADANG PANJANG,KOTA PADANG PANJANG,-0.45,100.43333
72,1375,13,KOTA BUKITTINGGI,KOTA BUKITTINGGI,-0.275,100.375
73,1376,13,KOTA PAYAKUMBUH,KOTA PAYAKUMBUH,-0.23333,100.63333
74,1377,13,KOTA PARIAMAN,KOTA PARIAMAN,-0.62682,100.12047
75,1401,14,KABUPATEN KUANTAN SINGINGI,KABUPATEN KUANTAN SINGINGI,-0.47532,101.45857
76,1402,14,KABUPATEN INDRAGIRI HULU,KABUPATEN INDRAGIRI HULU,-0.55,102.31667
77,1403,14,KABUPATEN INDRAGIRI HILIR,KABUPATEN INDRAGIRI HILIR,-0.33333,103.16667
78,1404,14,KABUPATEN PELALAWAN,KABUPATEN PELALAWAN,0.20822000000000002,102.18607
79,1405,14,KABUPATEN SIAK,KABUPATEN SIAK,0.9745300000000001,102.01355
80,1406,14,KABUPATEN KAMPAR,KABUPATEN KAMPAR,0.23440000000000003,101.2131
81,1407,14,KABUPATEN ROKAN HULU,KABUPATEN ROKAN HULU,0.8833300000000001,100.48333
82,1408,14,KABUPATEN BENGKALIS,KABUPATEN BENGKALIS,0.9838,102.5096
83,1409,14,KABUPATEN ROKAN HILIR,KABUPATEN ROKAN HILIR,2.16599,100.82514
